   -0.148    0.351    0.472   -0.535   -0.593    0.368    1.788   -0.090    0.004   -0.375    2.109    0.426    1.677    0.491   -0.610    3.859    0.262    0.135   -0.057    2.319   -1.110   -2.462    0.167    0.712   -1.656   -1.550   -0.057   -0.565    0.436   -0.683   -1.067
   -0.208    0.023    0.474   -0.865   -1.280    0.328    1.634    0.005   -0.174   -1.350    2.253    1.166    0.828   -0.371   -1.796    4.231    1.410   -0.089    0.011    3.855   -0.120   -1.606   -0.101    0.292   -1.755   -0.261    1.384   -0.343    0.381   -0.624   -0.777
   -0.252   -0.301    0.387   -1.341   -2.120    0.190    1.376    0.230   -0.521   -2.619    2.459    2.114   -0.469   -1.500   -3.205    4.509    2.997   -0.394    0.125    5.601    1.246   -0.359   -0.423   -0.131   -1.690    1.425    3.111   -0.097    0.282   -0.464   -0.418
   -0.282   -0.577    0.241   -1.976   -3.083   -0.084    1.014    0.589   -1.023   -4.142    2.741    3.255   -2.193   -2.861   -4.787    4.701    4.973   -0.765    0.281    7.490    2.952    1.240   -0.776   -0.481   -1.463    3.422    5.040    0.164    0.134   -0.236   -0.000
   -0.263   -0.756    0.024   -2.764   -4.131   -0.541    0.572    1.091   -1.680   -5.843    3.120    4.538   -4.257   -4.368   -6.446    4.805    7.258   -1.185    0.434    9.419    4.906    3.090   -1.153   -0.727   -1.090    5.569    7.032    0.449   -0.016    0.075    0.448
   -0.195   -0.811   -0.244   -3.685   -5.208   -1.173    0.090    1.710   -2.471   -7.629    3.579    5.867   -6.560   -5.911   -8.113    4.815    9.709   -1.638    0.571   11.259    6.992    5.100   -1.498   -0.816   -0.604    7.705    8.963    0.731   -0.163    0.439    0.902
   -0.062   -0.727   -0.527   -4.705   -6.255   -1.987   -0.402    2.396   -3.364   -9.401    4.094    7.131   -8.938   -7.380   -9.678    4.696   12.155   -2.108    0.639   12.890    9.069    7.103   -1.797   -0.699   -0.037    9.676   10.699    1.017   -0.279    0.841    1.341
    0.151   -0.490   -0.807   -5.758   -7.212   -2.954   -0.875    3.084   -4.310  -11.038    4.612    8.193  -11.255   -8.636  -11.039    4.440   14.392   -2.601    0.595   14.190   10.975    8.944   -1.992   -0.343    0.551   11.299   12.118    1.309   -0.335    1.255    1.747
    0.419   -0.121   -1.081   -6.795   -8.013   -4.032   -1.296    3.708   -5.289  -12.439    5.068    8.906  -13.311   -9.548  -12.113    3.995   16.225   -3.115    0.403   15.038   12.563   10.479   -2.086    0.253    1.132   12.426   13.108    1.608   -0.302    1.664    2.099
    0.725    0.354   -1.321   -7.736   -8.603   -5.154   -1.655    4.179   -6.240  -13.535    5.386    9.149  -14.992   -9.989  -12.828    3.293   17.482   -3.661    0.027   15.351   13.705   11.580   -2.045    1.097    1.675   12.970   13.602    1.922   -0.168    2.052    2.391
