03_01_31, Steven, sep_artifact_finger_gnd., 
03_01_31, Steven, sep_artifact_finger_no_gnd., 
03_01_31, Steven, sep_artifact_no_gnd_steven., 
03_01_31, Steven, sep_artifact_steven., 
03_01_31, Steven, sep_artii_finger_gnd_ring., 
03_02_16, Gabriel, aep, 1s
03_02_16, Gabriel, arte, 
03_02_16, Gabriel, bf_, 
03_02_16, Gabriel, bt_, 
03_02_16, Gabriel, tap, 1s
03_02_16, Gabriel, tap_01, 
03_02_17, Vp01, arte, 
03_02_17, Vp01, bf_, 
03_02_17, Vp01, bt_, 
03_02_17, Vp01, tap, 1s
03_02_17, Vp02, arte, 
03_02_17, Vp02, bf_, 
03_02_17, Vp02, bfi_, 
03_02_17, Vp02, bt_, 
03_02_17, Vp02, tap, 1s
03_02_18, Vp03, aep, 1s
03_02_18, Vp03, arte, 
03_02_18, Vp03, bf_, 
03_02_18, Vp03, bt_, 
03_02_18, Vp03, tap, 1s
03_02_18, Vp04, aep, 1s
03_02_18, Vp04, arte, 
03_02_18, Vp04, bf_, 
03_02_18, Vp04, bt_, 
03_02_18, Vp04, tap, 1s
03_02_19, Vp05, aep, 1s
03_02_19, Vp05, arte, 
03_02_19, Vp05, arte, 
03_02_19, Vp05, bf_, 
03_02_19, Vp05, bt_, 
03_02_19, Vp05, respiration_, 
03_02_19, Vp05, tap, 1s
03_02_19, Vp06, aep, 1s
03_02_19, Vp06, arte, 
03_02_19, Vp06, bf_, 
03_02_19, Vp06, bt_, 
03_02_19, Vp06, respiration_, 
03_02_19, Vp06, tap, 1s
03_02_20, Vp07, aep, 1s
03_02_20, Vp07, aep, 1s_02_
03_02_20, Vp07, arte, 
03_02_20, Vp07, bf_, 
03_02_20, Vp07, bt_, 
03_02_20, Vp07, tap, 1s
03_02_20, Vp08, aep, 1s
03_02_20, Vp08, arte, 
03_02_20, Vp08, bf_, 
03_02_20, Vp08, bt_, 
03_02_20, Vp08, tap, 1s
03_04_01, Gabriel, arte, 
03_04_01, Gabriel, imag, 
03_04_01, Gabriel, imag, _fb1
03_04_01, Gabriel, imag, _fb2
03_04_01, Gabriel, imag, _fb3
03_04_01, Gabriel, zunge, 
03_04_03, Thorsten, arte, 
03_04_03, Thorsten, paced, 1s
