,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass
17,0.406430798,0.851536119,0.885416667,0.708333333,11.45833333,29.16666667,0.662022296,2.826438748,0.850694444,0.340277778,14.93055556,65.97222222,0.376159261,0.522127487,0.982638889,0.909722222,1.736111111,9.027777778,0.715094068,2.241284389,0.791666667,0.350694444,20.83333333,64.93055556,0.663801997,1.772320324,0.951388889,0.305555556,4.861111111,69.44444444,0.605321269,1.449418138,0.892361111,0.53125,10.76388889,46.875,0.208990364,0.623618313,0.989583333,0.815972222,1.041666667,18.40277778,0.443361188,0.854655434,0.972222222,0.770833333,2.777777778,22.91666667,0.493420352,1.051017948,0.958333333,0.666666667,4.166666667,33.33333333
18,0.413660831,0.836413976,0.864583333,0.659722222,13.54166667,34.02777778,0.653733284,1.716185928,0.753472222,0.451388889,24.65277778,54.86111111,0.42469085,0.565283155,0.982638889,0.864583333,1.736111111,13.54166667,0.626151289,1.839274379,0.836805556,0.388888889,16.31944444,61.11111111,0.63344758,1.612515156,0.631944444,0.378472222,36.80555556,62.15277778,0.593070089,1.369268018,0.909722222,0.572916667,9.027777778,42.70833333,0.257488036,0.962243235,0.90625,0.71875,9.375,28.125,0.48208546,0.997797177,0.954861111,0.704861111,4.513888889,29.51388889,0.474915898,1.07470425,0.954861111,0.631944444,4.513888889,36.80555556
19,0.36689525,0.761997398,0.96875,0.697916667,3.125,30.20833333,0.646717418,2.684340067,0.690972222,0.333333333,30.90277778,66.66666667,0.348070811,0.576006932,0.986111111,0.847222222,1.388888889,15.27777778,0.645920283,1.593826922,0.84375,0.53125,15.625,46.875,0.550401344,2.194837183,0.954861111,0.270833333,4.513888889,72.91666667,0.598900023,1.627627622,0.895833333,0.482638889,10.41666667,51.73611111,0.197907341,0.952126868,1,0.694444444,0,30.55555556,0.399500069,0.865303112,0.947916667,0.743055556,5.208333333,25.69444444,0.448795137,1.1462721,0.951388889,0.649305556,4.861111111,35.06944444
20,0.384064661,0.697520612,0.947916667,0.753472222,5.208333333,24.65277778,0.640995664,1.389042345,0.934027778,0.506944444,6.597222222,49.30555556,0.36837814,0.619558416,0.944444444,0.840277778,5.555555556,15.97222222,0.582573922,1.227341378,0.881944444,0.548611111,11.80555556,45.13888889,0.550515194,2.007519464,0.934027778,0.361111111,6.597222222,63.88888889,0.538764486,1.441878169,0.947916667,0.541666667,5.208333333,45.83333333,0.258898355,0.814986275,1,0.725694444,0,27.43055556,0.396764615,1.204344238,0.875,0.638888889,12.5,36.11111111,0.420079989,1.332048314,0.961805556,0.618055556,3.819444444,38.19444444
21,0.35994541,0.811867563,0.951388889,0.743055556,4.861111111,25.69444444,0.587255805,2.467257446,0.916666667,0.350694444,8.333333333,64.93055556,0.328212328,0.629863217,0.965277778,0.850694444,3.472222222,14.93055556,0.562031067,1.387267454,0.940972222,0.565972222,5.902777778,43.40277778,0.508426209,2.133515847,0.920138889,0.350694444,7.986111111,64.93055556,0.515018504,1.463590694,0.940972222,0.548611111,5.902777778,45.13888889,0.16856878,0.526619928,1,0.868055556,0,13.19444444,0.368752374,0.853030218,0.979166667,0.736111111,2.083333333,26.38888889,0.426673914,0.805069119,0.975694444,0.784722222,2.430555556,21.52777778
22,0.370292968,0.643590403,0.993055556,0.815972222,0.694444444,18.40277778,0.551886366,2.489467849,0.913194444,0.4375,8.680555556,56.25,0.292590566,0.581400148,0.989583333,0.847222222,1.041666667,15.27777778,0.596010651,1.217168663,0.947916667,0.5625,5.208333333,43.75,0.463802798,2.788665483,0.979166667,0.381944444,2.083333333,61.80555556,0.501837806,1.705628772,0.892361111,0.440972222,10.76388889,55.90277778,0.165008365,0.776973745,0.996527778,0.743055556,0.347222222,25.69444444,0.370544365,0.764377599,0.975694444,0.798611111,2.430555556,20.13888889,0.407914542,1.251013273,0.930555556,0.659722222,6.944444444,34.02777778
23,0.374570347,0.892055937,0.940972222,0.711805556,5.902777778,28.81944444,0.565568812,1.349156392,0.875,0.520833333,12.5,47.91666667,0.303323321,0.824003539,0.951388889,0.777777778,4.861111111,22.22222222,0.561189426,1.591349687,0.711805556,0.479166667,28.81944444,52.08333333,0.477417746,4.237763926,0.552083333,0.336805556,44.79166667,66.31944444,0.481405806,1.546174732,0.954861111,0.538194444,4.513888889,46.18055556,0.166466697,1.364152403,1,0.545138889,0,45.48611111,0.352510814,0.903190083,0.951388889,0.722222222,4.861111111,27.77777778,0.401013113,0.986024648,0.965277778,0.697916667,3.472222222,30.20833333
24,0.309886875,0.834198266,0.958333333,0.732638889,4.166666667,26.73611111,0.553014268,2.667130858,0.826388889,0.440972222,17.36111111,55.90277778,0.337454424,0.633040706,0.989583333,0.864583333,1.041666667,13.54166667,0.54100605,1.602243903,0.902777778,0.465277778,9.722222222,53.47222222,0.519035399,2.686084975,0.982638889,0.357638889,1.736111111,64.23611111,0.472447599,1.484093835,0.927083333,0.545138889,7.291666667,45.48611111,0.190067079,1.121680141,1,0.600694444,0,39.93055556,0.363961776,0.881480912,0.972222222,0.756944444,2.777777778,24.30555556,0.393609619,0.998746049,0.986111111,0.708333333,1.388888889,29.16666667
25,0.319168774,0.702860563,0.982638889,0.760416667,1.736111111,23.95833333,0.552917634,3.619350187,0.8125,0.3125,18.75,68.75,0.325181927,0.545499226,0.989583333,0.892361111,1.041666667,10.76388889,0.502745621,1.202394768,0.965277778,0.642361111,3.472222222,35.76388889,0.462168592,2.398313786,0.920138889,0.399305556,7.986111111,60.06944444,0.427150108,1.487741058,0.986111111,0.541666667,1.388888889,45.83333333,0.183234542,0.789555536,1,0.743055556,0,25.69444444,0.389083182,0.938958787,0.961805556,0.732638889,3.819444444,26.73611111,0.377718948,0.970051675,0.986111111,0.697916667,1.388888889,30.20833333
26,0.256977409,0.654291983,0.996527778,0.802083333,0.347222222,19.79166667,0.491967437,1.940829726,0.850694444,0.454861111,14.93055556,54.51388889,0.327387533,0.504362705,0.993055556,0.892361111,0.694444444,10.76388889,0.4973288,1.50203547,0.920138889,0.555555556,7.986111111,44.44444444,0.454973874,2.813511341,0.798611111,0.388888889,20.13888889,61.11111111,0.434619117,1.55638999,0.986111111,0.538194444,1.388888889,46.18055556,0.154390527,1.05662183,0.993055556,0.677083333,0.694444444,32.29166667,0.355873128,0.852234394,0.989583333,0.763888889,1.041666667,23.61111111,0.356541441,1.592496679,0.965277778,0.517361111,3.472222222,48.26388889
