,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy
48,0.456838928,82.29166667,2.334181885,49.30555556,0.324661621,88.54166667,0.972524325,62.15277778,1.509908689,54.16666667,1.414180135,51.04166667,0.260802984,90.625,0.66119217,76.73611111,0.582591199,78.81944444
49,0.420820103,82.63888889,1.847352094,52.77777778,0.368333033,88.88888889,0.934391032,65.625,1.780421429,48.61111111,1.337009716,54.16666667,0.343260486,87.15277778,0.577454011,77.43055556,0.640472503,75.69444444
50,0.683223566,72.56944444,1.955118103,48.26388889,0.377198068,87.84722222,1.0541159,62.5,1.467653767,55.55555556,1.391815955,54.51388889,0.302658799,87.15277778,0.537443683,80.55555556,0.636341258,77.08333333
51,0.424934761,84.72222222,1.981573795,48.26388889,0.406431614,87.5,0.885104703,67.01388889,1.111003561,61.11111111,1.242803141,54.86111111,0.376540442,84.375,0.540683926,80.20833333,0.621120342,76.73611111
52,0.421307581,84.72222222,2.808269165,40.625,0.333315331,92.01388889,0.923126583,65.97222222,1.096012871,57.63888889,1.358848647,54.16666667,0.3899039,84.72222222,0.576613512,78.47222222,0.58582725,79.16666667
53,0.430411784,83.68055556,2.72785739,44.44444444,0.471264395,87.5,1.042036227,63.19444444,1.398153825,55.55555556,1.37946727,54.86111111,0.296268729,89.58333333,0.635389939,76.38888889,0.67210078,75
54,0.371960027,84.72222222,2.654184598,44.79166667,0.399599272,89.93055556,0.975296227,63.88888889,1.381965499,56.25,1.256584449,53.47222222,0.247959145,90.625,0.549507658,79.16666667,0.575665505,77.77777778
55,0.411430073,83.33333333,1.690245526,51.04166667,0.377143734,89.23611111,0.965747992,67.36111111,1.123835408,60.06944444,1.379810386,54.86111111,0.295667713,90.27777778,0.562142728,78.81944444,0.623046223,75.69444444
56,0.404607908,83.33333333,2.072848156,49.65277778,0.423993865,87.84722222,0.914713803,66.31944444,1.281901004,57.63888889,1.289790996,54.51388889,0.233208026,90.97222222,0.706251615,78.125,0.659475279,74.65277778
57,0.387302673,83.33333333,1.947218469,47.56944444,0.459868004,88.88888889,0.968507454,64.23611111,1.073516274,58.68055556,1.34134618,56.25,0.529153151,82.29166667,0.600682429,76.04166667,0.63435396,77.08333333
