,val_loss,test_loss,val_accuracy,test_accuracy
77,0.8092307119533934,0.7879002028041415,"tensor(71.3362, device='cuda:1')","tensor(70.4861, device='cuda:1')"
78,0.8086701179372853,0.7775528695848253,"tensor(71.1207, device='cuda:1')","tensor(71.8750, device='cuda:1')"
79,0.7899615887937874,0.7674756381246779,"tensor(71.3362, device='cuda:1')","tensor(72.7431, device='cuda:1')"
80,0.798812196172517,0.7777103384335836,"tensor(71.9828, device='cuda:1')","tensor(71.7014, device='cuda:1')"
81,0.7876202402443722,0.7645416657129923,"tensor(70.9052, device='cuda:1')","tensor(72.0486, device='cuda:1')"
82,0.7956536556112355,0.781047542889913,"tensor(71.5517, device='cuda:1')","tensor(71.1806, device='cuda:1')"
83,0.8056925247455465,0.7850970692104764,"tensor(70.2586, device='cuda:1')","tensor(71.5278, device='cuda:1')"
84,0.7974350863489611,0.7779009408420987,"tensor(71.5517, device='cuda:1')","tensor(71.1806, device='cuda:1')"
85,0.79054037661388,0.7615724073515998,"tensor(71.7672, device='cuda:1')","tensor(72.0486, device='cuda:1')"
86,0.7999728630329,0.7829949988259209,"tensor(70.9052, device='cuda:1')","tensor(70.8333, device='cuda:1')"
87,0.7891205590346764,0.7675695088174608,"tensor(71.9828, device='cuda:1')","tensor(71.5278, device='cuda:1')"
88,0.800497737424127,0.7777274250984192,"tensor(71.3362, device='cuda:1')","tensor(70.8333, device='cuda:1')"
89,0.7962207732529476,0.7721167140536838,"tensor(71.3362, device='cuda:1')","tensor(72.3958, device='cuda:1')"
90,0.7910820656809313,0.7738016512658861,"tensor(71.9828, device='cuda:1')","tensor(71.7014, device='cuda:1')"
91,0.7935260986459667,0.7712337440914578,"tensor(72.4138, device='cuda:1')","tensor(72.0486, device='cuda:1')"
92,0.7938811326849049,0.7728790177239312,"tensor(71.9828, device='cuda:1')","tensor(72.3958, device='cuda:1')"
93,0.791787706572434,0.7728167904747857,"tensor(72.1983, device='cuda:1')","tensor(72.3958, device='cuda:1')"
94,0.7927996577887699,0.7749395502938164,"tensor(71.9828, device='cuda:1')","tensor(71.8750, device='cuda:1')"
95,0.7922038662022558,0.7766342494222853,"tensor(71.9828, device='cuda:1')","tensor(72.5694, device='cuda:1')"
96,0.792967389369833,0.7748498717943827,"tensor(71.7672, device='cuda:1')","tensor(72.0486, device='cuda:1')"
97,0.7933638753562138,0.7741537888844808,"tensor(71.5517, device='cuda:1')","tensor(71.8750, device='cuda:1')"
98,0.7932385493969095,0.7746416727701823,"tensor(71.9828, device='cuda:1')","tensor(71.8750, device='cuda:1')"
